y,x,mass,size,ecc,signal,raw_mass,ep,frame,particle
1294.8153753933764,734.8989959538438,401.94065780883557,3.1090861847078566,0.03997763485688003,7.5894684375713,2644.0,0.02260968940848533,0,11
1304.1758849557523,685.1281605562579,381.1599704202475,3.0556883598819558,0.12671141795878357,7.950871696503267,2648.0,0.022566863721020982,0,13
1419.0064688366363,1335.2765170962111,586.6177231230705,3.3297101848022215,0.031717927987406254,10.480694509027034,3616.0,0.015473931802694104,0,23
1192.1002928257687,1544.2289897510982,411.3973764175554,3.088328759079597,0.01601447997519555,8.312274955435234,3689.0,0.01511564664392716,0,26
1009.9819053325344,1182.4538046734572,502.651699297877,3.1553923525833936,0.025052102321986344,10.059057373606406,3081.0,0.018727072996573477,0,30
1426.1044382115163,587.9800362976407,365.077525397775,3.1469010638865207,0.03324957060631589,6.987129672684689,2500.0,0.024267605571026564,0,54
1439.0284126003705,871.8040457072267,390.07458414056936,3.095978582743336,0.05292051276561997,7.7701700670372835,2684.0,0.022188610733013453,0,55
1794.6454094292803,1252.5913151364764,242.74252224930427,2.6729970354201225,0.18057887039335566,6.866661919707367,2090.0,0.030671130738963655,0,67
1830.9103078982598,1289.9892904953147,224.97352868514923,2.1513670508344998,0.15116815130641598,9.516952485208455,1514.0,0.048739032715086346,0,69
1831.835931410756,1639.198168355417,309.1202541398088,2.8136109999295202,0.05399656173930297,7.348532931616655,2340.0,0.026420196483950085,0,70
2063.5875209380233,504.2190117252931,431.5154911647682,3.3586559088775165,0.034906797916305014,7.167831302150672,2846.0,0.020632383281519284,0,79
1010.0076027928627,1540.2040341349884,388.20733396942086,3.0397419350674495,0.038050718388339844,7.950871696503267,2829.0,0.02078536322133204,0,84
1491.7097701149426,1536.3706896551723,230.57527919859473,2.6739386218453163,0.22450212842386244,6.5052586607754,3108.0,0.018530466184155308,0,96
1534.5410933432502,1513.1734845667534,323.9377877560195,2.9461827102694795,0.06923561146323565,7.288299055127994,2743.0,0.02159538281786065,0,104
1576.1212321232124,1942.1421342134213,273.76296864096474,2.688647035646038,0.14788277109330827,7.107597425662011,2829.0,0.02078536322133204,0,110
441.34109864826,935.3937302272074,418.86637710214933,3.134874390796895,0.08808256388293226,8.011105572991928,2785.0,0.021192051680409104,0,116
454.7035363964894,465.6711409395973,466.6920750341463,3.28685763975825,0.028166837834022684,8.19180720245791,2996.0,0.01937420251955391,0,119
