y,x,mass,size,ecc,signal,raw_mass,ep,frame,particle
1659.139419089049,926.5565749940093,158284.95946217276,19.89600892003614,0.14463248756752678,88.62335521305594,1532134.0,,0,5
1658.143239576254,925.840617836986,149207.5134730136,20.302540260884772,0.18148351415395853,82.86701565990977,1576994.0,,1,5
1659.2748443583257,925.905303030303,149869.1365720655,20.703886720320877,0.17890414744855676,81.67420247549185,1596727.0,,2,5
1659.391598557525,925.802975452862,148852.31546082674,19.75025356624085,0.14985935170291814,83.93810690694202,1567083.0,,3,5
1657.6222337279808,925.5834616225421,147582.03425056054,19.539906731648397,0.17119386838852954,85.92098918548851,1550113.0,,4,5
1657.6729759169507,924.9470291986576,155511.4318453038,19.86932968831932,0.13916198363965357,85.72581653780469,1570807.0,,5,5
1658.9678471178656,923.5697223755009,159744.2280800732,20.100060332774905,0.15005860507113739,83.96643591407934,1571031.0,,6,5
1657.737425918567,921.3391017506078,161918.25081851688,20.268214408574405,0.15745873884597492,85.7907350736695,1561922.0,,7,5
1658.8409471206824,922.3388407453258,154458.305959387,19.591792602819776,0.1679040715504551,85.80199835854593,1551886.0,,8,5
1659.0200453949737,920.6614936139836,157951.70343337598,19.890964025433675,0.14568208161441829,86.57317110960707,1550231.0,,9,5
1659.462213122005,926.3053825291652,161895.9687940336,20.254580885456548,0.14455366683352444,85.9288909865394,1560396.0,,10,5
1658.8206270655994,934.5645803929132,152396.83032224176,20.078162961902507,0.13757800457982788,83.8328856827824,1574739.0,,11,5
1657.2571435619548,940.4991407168642,158202.88862145972,19.959050136131037,0.1125195156897639,82.93055964097636,1585302.0,,12,5
1658.192957470521,940.9529135653174,162325.98311058004,20.38719667809297,0.14332966629432523,86.86404283935906,1557314.0,,13,5
1656.6580720687266,943.4124048420185,154769.42829408764,20.58216653074781,0.14951314856194178,80.95331866643929,1602009.0,,14,5
1656.660560967731,948.448079244449,158318.46665622952,20.16925622317987,0.14757466483933313,82.76875870786252,1585276.0,,15,5
1656.9662741172745,948.5888302164299,165883.36727228097,21.096595423528715,0.13948782711020324,80.64845498442986,1614705.0,,16,5
1657.4502898163994,948.9879218087593,163618.00216658774,20.52283001627785,0.11895831754079177,81.74022767888133,1605559.0,,17,5
1656.8830265425108,948.122819155734,156521.63663411824,19.72088837439459,0.13748644060951815,82.42736649543286,1586353.0,,18,5
1656.9180880371082,950.5527099963165,156227.63273591368,20.832456968431394,0.12682678708715486,79.94408802107733,1612101.0,,19,5
1655.8350624024079,949.1703654659221,153100.030484185,20.1409542915857,0.1549316338172372,86.83709763051726,1556609.0,,20,5
1656.4966393481407,951.9470015614144,141819.20309644754,19.361744467183303,0.12035969243985388,81.93579304255621,1593522.0,,21,5
1655.9061103096553,951.6450925512029,141061.3676840152,19.13297716993465,0.13841308188819812,82.04408423998161,1577021.0,,22,5
1657.1809066721821,951.7450054998261,163144.17526657743,20.365043523072913,0.14950583727790942,87.80922686558385,1540827.0,,23,5
1656.8176848659841,952.6943244229119,146740.19290321314,19.282887175550798,0.1648117249063454,86.32175177592545,1552766.0,,24,5
1656.4942978021543,953.0603715607472,134405.43223257732,18.70453647377231,0.14496274900999337,81.99295447346233,1584538.0,,25,5
1658.415915334361,952.4415858904282,137598.70588235292,19.13851049277426,0.15884180697747044,82.94117647058823,1578055.0,,26,5
1656.669107666738,954.1555709447124,147928.72830602125,18.334386989718663,0.10874171058837065,91.26689020529886,1503515.0,,27,5
1656.7011026532996,956.6948102127004,148726.97979077182,19.53000421549699,0.11347069755167126,87.81999499859444,1539483.0,,28,5
1655.7031540028484,959.6757357539893,143582.86162339366,19.284130662809993,0.12994241371117202,83.66942346984855,1569642.0,,29,5
1654.6907774984832,960.4233905044639,141881.4043061861,18.840635364379786,0.15513086814748248,86.85424442337171,1540170.0,,30,5
1656.0357692573334,959.1611676253812,144658.91008932886,19.423276889189125,0.10731136373106122,83.85423890980917,1573361.0,,31,5
1655.0228319211697,959.2752053771471,137218.61960784314,18.414492113740398,0.16212710999281346,86.99607843137255,1543998.0,,32,5
1653.2173369384896,959.1122748634448,153497.03000087806,19.525364890743077,0.1312008037884987,85.89564058424934,1561737.0,,33,5
1651.37670718,957.445746100005,153577.48851306885,19.334121004923293,0.09555063064861838,82.82883551161959,1586036.0,,34,5
1653.2507254307402,956.3488368006747,149918.90097291992,19.167313166216275,0.14078589492961185,86.17672477508802,1559018.0,,35,5
1657.2153266278153,953.9060517654631,149020.76270600504,20.359447599857916,0.1404227304839912,79.33444447327408,1614524.0,,36,5
1658.125607883735,952.6073696190167,157613.37487931823,20.132584076070945,0.13787386241555752,83.97815818527468,1578388.0,,37,5
1657.4771793249197,952.5751173092307,155884.34292952757,21.33148476846225,0.19276043598156878,85.61699013478047,1562362.0,,38,5
1658.5635064913406,951.2451174969563,158009.35490259042,19.862684625953516,0.13793916137591622,87.71751099514088,1542666.0,,39,5
1658.428616734359,950.4292563454753,144202.11579854804,18.99218461708579,0.14445507861096676,87.62161246513841,1533179.0,,40,5
1659.0967159564532,950.0878448873909,139365.37364128878,18.33977294744648,0.12886849837901843,86.40535928532329,1549962.0,,41,5
1657.6067274906973,948.4502535199572,149574.94268879772,19.583633175157257,0.12581993782748566,86.55283495929122,1557585.0,,42,5
1658.1140292750342,947.8512810728163,152093.47741622725,19.345517815050464,0.1290629025205096,89.80377509305676,1523727.0,,43,5
1658.2844226746777,946.9100100934081,149567.62347360238,19.73528504231868,0.1705315434143644,87.71764702609272,1534683.0,,44,5
1659.712737451871,946.1061591802306,142955.77146974424,18.95998894514513,0.11455821005610942,85.96829900020009,1551965.0,,45,5
1657.238365108309,945.4613463914643,133938.91766963317,18.826709091510793,0.1605285410602579,85.9971991098654,1548237.0,,46,5
1658.507334638703,945.9476387947914,150118.2787856838,19.84924001296077,0.14417604321362024,85.68586284860261,1556282.0,,47,5
1659.1863416885112,945.4302337541037,142016.42927345636,19.277994766963634,0.132108731779791,85.66693209856098,1556139.0,,48,5
1659.0627679376512,944.9593763017881,142775.52224834627,19.1902213256547,0.14785522704545462,85.82657696994603,1558781.0,,49,5
1658.691090272632,943.9721899992335,145320.6236096539,19.30055488481993,0.13733689012473033,83.91665415280113,1567250.0,,50,5
1659.4240746123419,942.0111918512808,142740.0782508288,19.579485209644833,0.10916766328171863,82.9789786239953,1575050.0,,51,5
1657.3704399716908,942.0851205284379,143350.921636605,19.317315933713537,0.17136319545093331,85.69758386849884,1556007.0,,52,5
1659.4183504513867,942.2754631044812,147790.08684734424,19.31309771664313,0.13272418988801626,87.71751705546862,1542214.0,,53,5
1658.0095623826928,940.1399810897391,135682.47474703554,18.848095150147387,0.16318097232056503,85.78166930564332,1543406.0,,54,5
1657.7240618524006,938.0531721773555,134833.27856648774,18.577422932185524,0.12838164679455322,82.94052523541788,1570204.0,,55,5
1656.7773070295661,937.8058665969074,133769.7549180414,19.641493034088153,0.16651368295048258,88.24514806101352,1535035.0,,56,5
1654.8726288718065,936.0548383450147,135256.05297757967,18.668930928839348,0.14732103024315948,84.85994732371321,1559211.0,,57,5
1655.4437679941573,934.1560532274574,130967.76027838043,19.342747349587153,0.17149486909852601,84.94112118306032,1551594.0,,58,5
1656.0736299749692,934.8131237975634,129933.41641541892,18.818219979624207,0.13186513121782215,83.82296318635798,1569257.0,,59,5
1656.586776946581,933.8571594141819,142923.25047961978,19.109341618650905,0.16030759974673262,88.84703169631827,1531401.0,,60,5
1656.8553879502572,933.2309835857324,140735.23470313963,19.8337965352921,0.12494785163716218,83.68425477573489,1569480.0,,61,5
1657.9526164057995,932.6595086416628,128186.3785320006,18.932002914788267,0.12104036357025517,81.8414207112015,1582638.0,,62,5
1658.7093395593567,931.1667610003564,139170.85611628625,18.986043624857665,0.15717521995239053,83.87653005771607,1570897.0,,63,5
1660.179367220586,927.758770986951,132801.32842952607,18.98595657785778,0.1787781995090995,81.72147873455262,1587366.0,,64,5
1661.9379410879978,928.2432896776731,128803.39810465583,18.11695666995306,0.12788336057301516,84.94103815588058,1556712.0,,65,5
1660.2993728644522,923.2753522482147,145908.82336913337,19.194536110192697,0.13543082433904638,82.78814842489565,1576307.0,,66,5
1659.4932211922587,922.342827588107,148733.88792710603,19.73316775450878,0.17641788758354726,82.32798567318565,1583675.0,,67,5
1659.9343465628365,920.3083860596139,148866.16006402337,20.05066306073223,0.17321819380622736,82.69976297624314,1578579.0,,68,5
1653.3143984724331,914.2967847416693,153070.62467120535,19.990930002294846,0.14512112903077765,82.19279342375481,1587647.0,,69,5
1644.551951818296,919.2615263694925,152179.24278158118,22.817035891048445,0.12423598550183332,72.77493907893069,1683890.0,,70,5
1649.190317502029,921.4446656263881,160160.97223914266,23.012616835374775,0.10922386232253113,73.74631116582579,1674855.0,,71,5
1649.2198699108649,924.5266706817634,156272.89445712502,20.112255373002554,0.1148919350493525,81.69409322379218,1598062.0,,72,5
1655.0525545560195,937.6199118393968,145586.10210751483,20.22239746325949,0.15423831851651643,79.25089300745057,1607368.0,,73,5
1661.0450693384646,945.4628412182337,135729.15492068403,19.25443191659419,0.1343953107364014,79.97312027706683,1599491.0,,74,5
1662.3643755757673,948.4856297006152,134745.18243248566,18.840781561294772,0.1270129208983603,82.62591081197658,1569972.0,,75,5
1660.7996241057353,948.5520882052348,133109.8344781784,19.561452062301733,0.14019273470582083,82.62344867919751,1579630.0,,76,5
1662.9784435389793,949.3317412548396,133602.44734209246,18.957225046010823,0.1224251823022049,83.95282307157484,1570985.0,,77,5
1663.5846919494345,951.5089607451763,134091.17647058825,18.75729127693826,0.13280297704906766,83.86274509803923,1569143.0,,78,5
1663.5062278481012,951.9381800281294,131992.80455668995,18.17916838445841,0.12516299483471055,83.9110374959548,1568060.0,,79,5
1663.0227960077548,950.8533610971494,125615.57404065196,18.432261124494648,0.13514716049486605,80.81536177240191,1588463.0,,80,5
1662.7681855489202,951.987139501316,127475.92154381031,17.96985127550379,0.12747548308798057,81.89803919974229,1584942.0,,81,5
1661.8871120657107,952.5488006443547,127601.73835902623,18.208704649037365,0.13353006222023742,85.64665421072498,1543926.0,,82,5
