exp_0,exp_1,exp_2,exp_3,exp_4
3.0,2.0,88.0,12.0,10.0
3.0,2.0,83.0,11.0,9.0
4.0,1.0,78.0,11.0,7.0
5.0,1.0,79.0,10.0,6.0
5.0,1.0,76.0,11.0,7.0
4.0,1.0,79.0,12.0,10.0
4.0,1.0,79.0,12.0,8.0
4.0,1.0,73.0,12.0,7.0
3.0,1.0,72.0,11.0,8.0
3.0,1.0,73.0,10.0,9.0
3.0,,75.0,12.0,9.0
2.0,,77.0,12.0,12.0
2.0,,81.0,12.0,12.0
1.0,,80.0,11.0,14.0
,,82.0,12.0,11.0
1.0,,79.0,13.0,11.0
1.0,,80.0,15.0,12.0
1.0,,78.0,13.0,11.0
1.0,,82.0,13.0,10.0
1.0,,80.0,9.0,12.0
1.0,,79.0,7.0,10.0
1.0,,72.0,7.0,9.0
1.0,,72.0,6.0,8.0
1.0,,69.0,6.0,7.0
1.0,,69.0,7.0,8.0
3.0,,68.0,8.0,8.0
3.0,,69.0,8.0,8.0
3.0,,71.0,7.0,8.0
4.0,,79.0,5.0,8.0
4.0,,73.0,4.0,8.0
4.0,,72.0,4.0,7.0
5.0,,67.0,4.0,8.0
5.0,,62.0,4.0,9.0
5.0,,67.0,6.0,10.0
4.0,,66.0,7.0,10.0
5.0,,65.0,6.0,9.0
4.0,,63.0,5.0,10.0
2.0,,56.0,5.0,11.0
2.0,,55.0,5.0,11.0
2.0,,51.0,6.0,11.0
3.0,,53.0,6.0,10.0
3.0,,57.0,7.0,9.0
3.0,,59.0,5.0,7.0
3.0,,58.0,5.0,7.0
2.0,,57.0,5.0,7.0
2.0,,56.0,4.0,9.0
2.0,,53.0,3.0,9.0
2.0,,56.0,3.0,12.0
2.0,,59.0,3.0,11.0
2.0,,60.0,3.0,12.0
1.0,,55.0,2.0,10.0
1.0,,58.0,3.0,10.0
1.0,,62.0,3.0,11.0
1.0,,58.0,4.0,13.0
,,58.0,4.0,14.0
,,53.0,4.0,14.0
,,55.0,3.0,11.0
,,54.0,4.0,10.0
,,47.0,4.0,9.0
,,49.0,4.0,9.0
,,50.0,4.0,9.0
,,49.0,4.0,11.0
,,47.0,4.0,9.0
,,50.0,4.0,11.0
,,50.0,4.0,11.0
,,56.0,4.0,13.0
,,53.0,4.0,13.0
,,54.0,4.0,12.0
,,58.0,4.0,12.0
,,55.0,6.0,11.0
,,56.0,5.0,11.0
,,58.0,5.0,11.0
,,53.0,5.0,8.0
,,53.0,4.0,7.0
,,50.0,5.0,6.0
,,50.0,4.0,6.0
,,50.0,4.0,6.0
,,47.0,4.0,7.0
,,46.0,5.0,7.0
,,44.0,4.0,8.0
,,48.0,4.0,8.0
,,45.0,4.0,8.0
,,49.0,3.0,8.0
,,45.0,3.0,8.0
,,40.0,2.0,9.0
,,43.0,1.0,10.0
,,41.0,2.0,12.0
,,44.0,1.0,12.0
,,46.0,1.0,15.0
,,51.0,1.0,16.0
,,54.0,1.0,15.0
,,52.0,2.0,16.0
,,56.0,3.0,17.0
,,55.0,3.0,15.0
,,56.0,3.0,14.0
,,54.0,3.0,13.0
,,56.0,4.0,10.0
,,54.0,4.0,12.0
,,53.0,4.0,13.0
,,49.0,4.0,13.0
,,47.0,3.0,12.0
,,48.0,2.0,12.0
,,46.0,2.0,11.0
,,41.0,2.0,9.0
,,36.0,3.0,9.0
,,34.0,4.0,7.0
,,29.0,4.0,7.0
,,26.0,3.0,7.0
,,23.0,3.0,6.0
,,22.0,3.0,7.0
,,18.0,2.0,6.0
,,,2.0,9.0
,,,2.0,14.0
,,,1.0,13.0
,,,,14.0
,,,,14.0
,,,,13.0
,,,,13.0
,,,,16.0
,,,,17.0
,,,,15.0
,,,,13.0
,,,,11.0
,,,,10.0
,,,,11.0
,,,,10.0
,,,1.0,9.0
,,,1.0,9.0
,,,1.0,8.0
,,,1.0,9.0
,,,1.0,8.0
,,,1.0,6.0
,,,1.0,8.0
,,,1.0,7.0
,,,1.0,8.0
,,,1.0,8.0
,,,1.0,9.0
,,,,10.0
,,,,11.0
,,,1.0,9.0
,,,2.0,8.0
,,,2.0,9.0
,,,2.0,8.0
,,,2.0,10.0
,,,2.0,10.0
,,,2.0,11.0
,,,2.0,10.0
,,,2.0,10.0
,,,2.0,11.0
,,,2.0,10.0
,,,2.0,10.0
,,,2.0,9.0
,,,2.0,9.0
,,,1.0,8.0
,,,1.0,8.0
,,,1.0,9.0
,,,1.0,9.0
,,,,8.0
,,,,9.0
,,,,10.0
,,,,11.0
,,,,10.0
,,,,11.0
,,,,12.0
,,,,13.0
,,,,13.0
,,,,13.0
,,,,13.0
,,,,13.0
,,,,12.0
,,,,10.0
,,,,10.0
,,,,9.0
,,,,6.0
,,,,7.0
,,,,7.0
,,,,7.0
,,,,5.0
,,,,6.0
,,,,8.0
,,,,10.0
,,,,12.0
,,,,12.0
,,,,14.0
,,,,15.0
,,,,16.0
,,,,16.0
,,,,16.0
,,,,16.0
,,,,14.0
,,,,14.0
,,,,14.0
,,,,10.0
,,,,10.0
,,,,7.0
,,,,10.0
,,,,11.0
,,,,10.0
,,,1.0,11.0
,,,1.0,11.0
,,,1.0,11.0
,,,1.0,12.0
,,,1.0,14.0
,,,1.0,15.0
,,,1.0,14.0
,,,1.0,13.0
,,,1.0,13.0
,,,1.0,13.0
,,,1.0,12.0
,,,1.0,10.0
,,,1.0,9.0
,,,1.0,9.0
,,,1.0,9.0
,,,1.0,9.0
,,,1.0,10.0
,,,1.0,9.0
,,,1.0,9.0
,,,1.0,10.0
,,,1.0,8.0
,,,2.0,8.0
,,,2.0,6.0
,,,2.0,6.0
,,,2.0,5.0
,,,2.0,6.0
,,,2.0,5.0
,,,2.0,3.0
,,,1.0,3.0
,,,1.0,4.0
,,,1.0,3.0
,,,,3.0
,,,,4.0
,,,,5.0
,,,,5.0
,,,,7.0
,,,,8.0
,,,,8.0
,,,,8.0
,,,,9.0
,,,,10.0
,,,1.0,12.0
,,,1.0,11.0
,,,1.0,11.0
,,,1.0,10.0
,,,1.0,7.0
,,,1.0,7.0
,,,1.0,9.0
,,,1.0,14.0
,,,1.0,16.0
,,,,12.0
,,,,12.0
,,,,12.0
,,,,12.0
,,,,12.0
,,,,12.0
,,,,14.0
,,,,11.0
,,,,11.0
,,,,10.0
,,,,11.0
,,,,10.0
,,,,10.0
,,,,9.0
,,,,9.0
,,,,9.0
,,,,9.0
,,,,9.0
,,,,9.0
,,,,12.0
,,,,11.0
,,,,11.0
,,,,9.0
,,,,9.0
,,,,9.0
,,,,10.0
,,,,9.0
,,,,12.0
,,,,10.0
,,,,9.0
,,,,7.0
,,,,7.0
,,,,7.0
,,,,8.0
,,,,6.0
,,,,6.0
,,,,5.0
,,,,3.0
,,,,3.0
,,,,6.0
,,,,6.0
,,,,6.0
,,,,5.0
,,,,8.0
,,,,8.0
,,,,9.0
,,,,9.0
,,,,8.0
,,,,6.0
,,,,5.0
,,,,5.0
,,,,5.0
,,,,4.0
,,,,2.0
,,,,1.0
,,,,2.0
,,,,2.0
,,,,2.0
,,,,2.0
,,,,2.0
,,,,2.0
,,,,3.0
,,,,4.0
,,,,4.0
,,,,3.0
,,,,3.0
,,,,4.0
,,,,5.0
,,,,6.0
,,,,9.0
,,,,10.0
,,,,9.0
,,,,9.0
,,,,9.0
,,,,8.0
,,,,7.0
,,,,7.0
,,,,7.0
,,,,7.0
,,,,5.0
,,,,5.0
,,,,4.0
,,,,5.0
,,,,8.0
,,,,8.0
,,,,7.0
,,,,7.0
,,,,7.0
,,,,7.0
,,,,6.0
,,,,7.0
,,,,7.0
,,,,6.0
,,,,6.0
,,,,7.0
,,,,5.0
,,,,6.0
,,,,6.0
,,,,6.0
,,,,6.0
,,,,5.0
,,,,5.0
,,,,4.0
,,,,3.0
,,,,4.0
,,,,4.0
,,,,4.0
,,,,3.0
,,,,5.0
,,,,4.0
,,,,4.0
,,,,4.0
,,,,4.0
,,,,4.0
,,,,4.0
,,,,4.0
,,,,4.0
,,,,5.0
,,,,5.0
,,,,5.0
,,,,5.0
,,,,4.0
,,,,5.0
,,,,5.0
,,,,6.0
,,,,7.0
,,,,7.0
,,,,6.0
,,,,6.0
,,,,7.0
,,,,8.0
,,,,8.0
,,,,7.0
,,,,6.0
,,,,7.0
,,,,7.0
,,,,6.0
,,,,5.0
,,,,5.0
,,,,4.0
,,,,4.0
,,,,3.0
,,,,2.0
,,,,1.0
,,,,1.0
,,,,1.0
,,,,1.0
,,,,1.0
,,,,1.0
,,,,1.0
,,,,2.0
,,,,2.0
,,,,2.0
,,,,4.0
,,,,5.0
,,,,5.0
,,,,4.0
,,,,4.0
,,,,4.0
,,,,4.0
,,,,4.0
,,,,4.0
,,,,4.0
,,,,3.0
,,,,3.0
,,,,1.0
,,,,1.0
,,,,1.0
,,,,1.0
,,,,1.0
,,,,1.0
,,,,1.0
,,,,1.0
,,,,1.0
,,,,1.0
,,,,2.0
,,,,2.0
,,,,3.0
,,,,2.0
,,,,2.0
,,,,2.0
,,,,2.0
,,,,2.0
,,,,2.0
,,,,2.0
,,,,2.0
,,,,3.0
,,,,3.0
,,,,2.0
,,,,2.0
,,,,2.0
,,,,2.0
,,,,2.0
,,,,2.0
,,,,4.0
,,,,3.0
,,,,3.0
,,,,3.0
,,,,3.0
,,,,4.0
,,,,4.0
,,,,4.0
,,,,4.0
,,,,2.0
,,,,2.0
,,,,2.0
,,,,2.0
,,,,3.0
,,,,2.0
,,,,3.0
,,,,2.0
,,,,2.0
,,,,2.0
,,,,2.0
,,,,2.0
,,,,2.0
,,,,2.0
,,,,2.0
,,,,2.0
,,,,2.0
,,,,1.0
,,,,1.0
,,,,2.0
,,,,2.0
,,,,1.0
,,,,1.0
,,,,1.0
,,,,1.0
,,,,1.0
,,,,1.0
,,,,1.0
,,,,1.0
,,,,1.0
,,,,1.0
,,,,2.0
,,,,3.0
,,,,4.0
,,,,5.0
,,,,5.0
,,,,5.0
,,,,5.0
,,,,5.0
,,,,5.0
,,,,4.0
,,,,5.0
,,,,6.0
,,,,7.0
,,,,8.0
,,,,6.0
,,,,7.0
,,,,7.0
,,,,7.0
,,,,6.0
,,,,5.0
,,,,5.0
,,,,5.0
,,,,5.0
,,,,4.0
,,,,3.0
,,,,2.0
,,,,2.0
,,,,2.0
,,,,2.0
,,,,2.0
,,,,2.0
,,,,3.0
,,,,1.0
,,,,1.0
,,,,1.0
,,,,1.0
,,,,1.0
,,,,1.0
,,,,2.0
,,,,2.0
,,,,1.0
,,,,1.0
,,,,1.0
,,,,1.0
,,,,1.0
,,,,1.0
,,,,1.0
,,,,1.0
,,,,1.0
,,,,2.0
,,,,2.0
,,,,2.0
,,,,3.0
,,,,3.0
,,,,3.0
,,,,3.0
,,,,4.0
,,,,3.0
,,,,2.0
,,,,2.0
,,,,3.0
,,,,3.0
,,,,3.0
,,,,3.0
,,,,3.0
,,,,3.0
,,,,3.0
,,,,3.0
,,,,4.0
,,,,3.0
,,,,3.0
,,,,3.0
,,,,3.0
,,,,2.0
,,,,2.0
,,,,2.0
,,,,2.0
,,,,2.0
,,,,1.0
,,,,1.0
,,,,1.0
,,,,2.0
,,,,2.0
,,,,3.0
,,,,3.0
,,,,2.0
,,,,2.0
,,,,2.0
,,,,2.0
,,,,2.0
,,,,2.0
,,,,2.0
,,,,1.0
,,,,3.0
,,,,3.0
,,,,3.0
,,,,3.0
,,,,3.0
,,,,3.0
,,,,3.0
,,,,4.0
,,,,4.0
,,,,3.0
,,,,3.0
,,,,2.0
,,,,2.0
,,,,1.0
,,,,1.0
,,,,1.0
,,,,2.0
,,,,1.0
,,,,1.0
,,,,2.0
,,,,2.0
,,,,2.0
,,,,2.0
,,,,2.0
,,,,2.0
,,,,2.0
,,,,1.0
,,,,1.0
,,,,1.0
,,,,1.0
,,,,1.0
,,,,1.0
,,,,1.0
,,,,1.0
,,,,1.0
,,,,1.0
,,,,1.0
,,,,1.0
,,,,1.0
,,,,1.0
,,,,1.0
,,,,1.0
,,,,1.0
,,,,1.0
,,,,1.0
,,,,1.0
,,,,1.0
,,,,1.0
,,,,1.0
,,,,1.0
,,,,2.0
,,,,2.0
,,,,2.0
,,,,2.0
,,,,2.0
,,,,2.0
,,,,1.0
,,,,1.0
,,,,3.0
,,,,3.0
,,,,3.0
,,,,2.0
,,,,2.0
,,,,2.0
,,,,2.0
,,,,2.0
,,,,2.0
,,,,1.0
,,,,1.0
,,,,2.0
,,,,2.0
,,,,3.0
,,,,3.0
,,,,3.0
,,,,3.0
,,,,4.0
,,,,4.0
,,,,4.0
,,,,3.0
,,,,3.0
,,,,3.0
,,,,3.0
,,,,3.0
,,,,3.0
,,,,2.0
,,,,3.0
,,,,2.0
,,,,2.0
,,,,2.0
,,,,2.0
,,,,2.0
,,,,2.0
,,,,2.0
,,,,2.0
,,,,2.0
,,,,1.0
,,,,1.0
,,,,1.0
,,,,1.0
,,,,2.0
,,,,2.0
,,,,2.0
,,,,1.0
,,,,1.0
,,,,1.0
,,,,1.0
,,,,1.0
,,,,1.0
,,,,1.0
,,,,1.0
,,,,1.0
,,,,2.0
,,,,2.0
,,,,2.0
,,,,2.0
,,,,2.0
,,,,2.0
,,,,1.0
,,,,1.0
