exp_0,exp_1,exp_2,exp_3,exp_4
,,,,
0.3035775659910306,0.6899640368666187,,0.4345173959256577,
0.47443969065153613,0.6407217787827199,0.051699869538263984,0.5248791193831123,0.18455964746559175
0.33551521767314135,0.5666159376317508,0.11043341666716242,0.1719999588868897,0.371105714970754
0.38711957602191077,0.5333759091896648,0.08465463927674685,0.14473874083018587,0.2555850265914476
0.3133559138394223,0.5267422610334361,0.07796892858682081,0.14491826121536538,0.309263388975348
0.44128830109247497,0.5627639829192651,0.22225036386144253,0.14054951006952676,0.6223253468149722
0.4072947194565275,0.6335999629714166,0.24385330639183675,0.22214082289807258,0.4519481963105911
0.39469876185102737,0.5389844515321809,0.19821905798369702,0.2618964467749851,0.37565948337647503
0.3486103246457103,0.5367427964125839,0.15311197503001267,0.13409143899294756,0.5126778158093309
0.43246423313914834,0.2850588111155438,0.13346776957114517,0.28104354883727906,0.4464696904586458
0.405988484526356,0.44295093197832786,0.22346060838841625,0.2778938428197264,0.32383100407230475
0.49966948998736843,0.4715851379525347,0.16218291297106027,0.32234514779175866,0.4065827510660811
0.3321200165227184,0.44456547004028263,0.24642587025253265,0.2070962875019441,0.46766892366057844
0.4457745575584346,0.4660034173737164,0.1380934639688103,0.09261597593114838,0.25882432630522323
0.4627532050569545,0.4984309198914966,0.17135180498336536,0.12008179893388611,0.426588941169844
0.4409006666969393,0.4499496676070578,0.19160158542175287,0.04714752310945388,0.32632377596448675
0.5159917265658015,0.49962954941325083,0.32802257981196525,0.09266936622754351,0.2902201261912486
0.4065379918340657,0.47300256448786016,0.1987238907612789,0.10844789337451094,0.29692003662761435
0.422830725100414,0.4690705801805737,0.19591052813235058,0.16898961987750744,0.26747221943793964
0.4439069664852234,0.4651931349651123,0.19309647050706302,0.2151059759581813,0.15939497834467975
0.38484462853056284,0.46338273736257285,0.22994284189773895,0.12794661419960374,0.408136956293846
0.4917762323488583,0.3969228900107234,0.16423640929229585,0.13599643305715206,0.3077510258257366
0.29220729905606674,0.4282040350291321,0.08425017198658809,0.11418024686407446,0.43659680288484265
0.2531219545960152,0.4866965666179221,0.1473443076177609,0.05495499905291301,0.2813863084361611
0.3421389271661279,0.6014777309866323,0.08061536291660035,0.09595792361988052,0.13462839843386948
0.36052788049974277,0.5162528165700474,0.12661558043834825,0.10094284344481072,0.28098219094693855
0.36333977776453635,0.5285640012133649,0.019266030100372998,0.08572639668204435,0.5849580356528326
0.28732839642062696,0.5515973971616296,0.16544971685506746,0.06250932546372384,0.18807259219335035
0.3144986912006861,0.5371371952755268,0.043448194336139764,0.09057176057805626,0.41971178093463246
0.4073115085599667,0.5907880806940075,0.2109048243552279,0.05179486060663659,0.3879900478547634
0.4236136646883865,0.5843140853506917,0.1848628389777705,0.15473123762516364,0.22045357650916772
0.40244134953821054,0.5439974936248213,0.05349865422369458,0.23091030777441404,0.47644549910736966
0.43470160263868474,0.5292474843435149,0.08475124636226067,0.26331444624458045,0.17192171050247293
0.39114622925994225,0.5372536240068132,0.08433814177567049,0.16374282643804827,0.24147934303980068
0.40446008365010383,0.5874268423840527,0.0793259999716847,0.07558139854749035,0.35012269308693794
